itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
803,1,45270,324586,UA,1358, ,13, ,1,J,UA,1358,ORD,MIA
803,2,97148,702466,UA,2364, ,19, ,1,J,UA,2364,MIA,EWR
803,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
804,1,51583,370007,UA,1488, ,18, ,2,J,UA,1488,ORD,CLE
804,2,118240,859974,UA,3547, ,6, ,1,J,UA,3547,CLE,EWR
804,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
805,1,51583,370007,UA,1488, ,18, ,2,J,UA,1488,ORD,CLE
805,2,120241,875437,UA,3633, ,7, ,1,J,UA,3633,CLE,EWR
805,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
806,1,130081,944142,UA,4496, ,4, ,1,J,UA,4496,ORD,YOW
806,2,121703,886892,UA,3691, ,2, ,1,J,UA,3691,YOW,EWR
806,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
807,1,130081,944142,UA,4496, ,4, ,1,J,UA,4496,ORD,YOW
807,2,131840,956245,UA,4587, ,3, ,1,J,UA,4587,YOW,EWR
807,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
808,1,19130,137927,UA,587, ,7, ,2,J,UA,587,ORD,EWR
