itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
148,2,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
148,3,115007,834559,UA,3419, ,5, ,1,J,UA,3419,EWR,YYZ
149,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
149,2,105301,762043,UA,2608, ,7, ,2,J,UA,2608,IAH,EWR
149,3,115007,834559,UA,3419, ,5, ,1,J,UA,3419,EWR,YYZ
150,1,127217,924502,UA,4358, ,3, ,1,J,UA,4358,LFT,IAH
150,2,89385,645262,UA,2224, ,7, ,2,J,UA,2224,IAH,DCA
150,3,190012,291781,UA,8555, ,3, ,1,J,AC,8781,DCA,YYZ
151,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
151,2,97225,703013,UA,2366, ,15, ,2,J,UA,2366,IAH,IAD
151,3,117475,854028,UA,3515, ,2, ,1,J,UA,3515,IAD,YYZ
152,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
152,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
152,3,140897,24427,UA,5278, ,10, ,1,J,UA,5278,ORD,YYZ
153,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
153,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
153,3,140897,24427,UA,5278, ,10, ,1,J,UA,5278,ORD,YYZ
154,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
154,2,49905,358370,UA,1450, ,9, ,2,J,UA,1450,IAH,DEN
154,3,188743,284898,UA,8456, ,5, ,1,J,AC,1040,DEN,YYZ
155,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
155,2,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
155,3,188743,284898,UA,8456, ,5, ,1,J,AC,1040,DEN,YYZ
